date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:06	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jan%202022%2003:19:02%20GMT	https://wizardoflegend.com/robots.txt		(from )
00:19:06	11407/11407	---MCZ	200	added ('OK')	text/html	etag:W/%226111aef0-2c8f%22	https://wizardoflegend.com/	C:/My%20Web%20Sites/wiz/wizardoflegend.com/index.html	(from )
00:19:06	8958/8958	---M--	200	added ('OK')	text/css	etag:%22610b3cae-22fe%22	https://wizardoflegend.com/main.css?v1.23	C:/My%20Web%20Sites/wiz/wizardoflegend.com/main0816.css	(from https://wizardoflegend.com/)
00:19:07	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Jan%202022%2003:19:03%20GMT	http://wizardoflegend.com/favicon.ico	C:/My%20Web%20Sites/wiz/wizardoflegend.com/favicon.1.delayed	(from https://wizardoflegend.com/)
00:19:07	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%225a1e14d6-1536%22	https://wizardoflegend.com/favicon.ico	C:/My%20Web%20Sites/wiz/wizardoflegend.com/favicon.ico	(from https://wizardoflegend.com/)
00:19:07	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/wiz/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://wizardoflegend.com/)
00:19:07	531/531	---M--	200	added ('OK')	application/javascript	etag:%225a1e1958-213%22	https://wizardoflegend.com/index.js	C:/My%20Web%20Sites/wiz/wizardoflegend.com/index.js	(from https://wizardoflegend.com/)
00:19:08	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/wiz/www.google-analytics.com/analytics.js	(from https://wizardoflegend.com/)
00:19:10	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Jan%202022%2003:19:05%20GMT	http://wizardoflegend.com/press/wizard_of_legend/index.html	C:/My%20Web%20Sites/wiz/wizardoflegend.com/press/wizard_of_legend/index.html	(from https://wizardoflegend.com/)
00:19:10	446319/446319	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Jan%202022%2003:19:05%20GMT	https://static.xsolla.com/embed/pay2play/2.1.5/widget.min.js	C:/My%20Web%20Sites/wiz/static.xsolla.com/embed/pay2play/2.1.5/widget.min.js	(from https://wizardoflegend.com/)
00:19:12	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Jan%202022%2003:19:07%20GMT	http://wizardoflegend.com/changelog.html?v1.23.4	C:/My%20Web%20Sites/wiz/wizardoflegend.com/changelog5c90.html	(from https://wizardoflegend.com/)
00:19:12	15324/15324	---MCZ	200	added ('OK')	text/html	etag:W/%225c901886-3bdc%22	https://wizardoflegend.com/press/wizard_of_legend/index.html	C:/My%20Web%20Sites/wiz/wizardoflegend.com/press/wizard_of_legend/index.html	(from https://wizardoflegend.com/)
00:19:12	37212/37212	---MCZ	200	added ('OK')	text/html	etag:W/%226144d14e-915c%22	https://wizardoflegend.com/changelog.html?v1.23.4	C:/My%20Web%20Sites/wiz/wizardoflegend.com/changelog5c90.html	(from https://wizardoflegend.com/)
